S500	SWAIN
H400	HOLLEY
F420	FELIX
P620	PEARCE
C432	CHILDS
Y616	YARBROUGH
G415	GALVAN
P623	PROCTOR
M200	MEEKS
L250	LOZANO
M600	MORA
R524	RANGEL
B250	BACON
V451	VILLANUEVA
S160	SCHAEFER
R230	ROSADO
H452	HELMS
B200	BOYCE
G200	GOSS
S352	STINSON
S563	SMART
L200	LAKE
I160	IBARRA
H325	HUTCHINS
C152	COVINGTON
R500	REYNA
G620	GREGG
W656	WERNER
C640	CROWLEY
H326	HATCHER
M200	MACKEY
B520	BUNCH
W520	WOMACK
P420	POLK
J525	JAMISON
D300	DODD
C436	CHILDRESS
C436	CHILDERS
C510	CAMP
V400	VILLA
D000	DYE
S165	SPRINGER
M500	MAHONEY
D400	DAILEY
B426	BELCHER
L263	LOCKHART
G620	GRIGGS
C230	COSTA
C560	CONNOR
B653	BRANDT
W536	WINTER
W435	WALDEN
M260	MOSER
T620	TRACY
T350	TATUM
M250	MCCANN
A262	AKERS
L320	LUTZ
P660	PRYOR
L000	LAW
O620	OROZCO
M242	MCALLISTER
L200	LUGO
D120	DAVIES
S526	SHOEMAKER
M325	MADISON
R361	RUTHERFORD
N250	NEWSOME
M200	MAGEE
C516	CHAMBERLAIN
B453	BLANTON
S520	SIMMS
G316	GODFREY
F452	FLANAGAN
C650	CRUM
C631	CORDOVA
E216	ESCOBAR
D552	DOWNING
S524	SINCLAIR
D500	DONAHUE
K626	KRUEGER
M252	MCGINNIS
G600	GORE
F620	FARRIS
W160	WEBBER
C613	CORBETT
A536	ANDRADE
S360	STARR
L500	LYON
Y360	YODER
H235	HASTINGS
M263	MCGRATH
S110	SPIVEY
K620	KRAUSE
H635	HARDEN
C613	CRABTREE
K621	KIRKPATRICK
H420	HOLLIS
B653	BRANDON
A652	ARRINGTON
E615	ERVIN
C413	CLIFTON
R360	RITTER
M200	MCGHEE
B435	BOLDEN
M450	MALONEY
G255	GAGNON
D516	DUNBAR
P520	PONCE
P200	PIKE
M200	MAYES
H630	HEARD
B300	BEATTY
M140	MOBLEY
K514	KIMBALL
B320	BUTTS
M532	MONTES
H616	HERBERT
G630	GRADY
E436	ELDRIDGE
B650	BRAUN
H500	HAMM
G152	GIBBONS
S560	SEYMOUR
M600	MOYER
M540	MANLEY
H650	HERRON
P456	PLUMMER
E456	ELMORE
C656	CRAMER
G600	GARY
R260	RUCKER
H435	HILTON
B400	BLUE
P625	PIERSON
F535	FONTENOT
F430	FIELD
R100	RUBIO
G620	GRACE
G432	GOLDSTEIN
E425	ELKINS
W420	WILLS
N120	NOVAK
J500	JOHN
H200	HICKEY
W640	WORLEY
G655	GORMAN
K320	KATZ
D252	DICKINSON
B626	BROUSSARD
F632	FRITZ
W361	WOODRUFF
C600	CROW
C623	CHRISTOPHER
B635	BRITTON
F623	FORREST
N520	NANCE
L550	LEHMAN
B525	BINGHAM
Z520	ZUNIGA
W400	WHALEY
S160	SHAFER
C155	COFFMAN
S363	STEWARD
D462	DELAROSA
N200	NIX
N400	NEELY
N516	NUMBERS
M300	MATA
M540	MANUEL
D140	DAVILA
M210	MCCABE
K246	KESSLER
E560	EMERY
B452	BOWLING
H524	HINKLE
W420	WELSH
P250	PAGAN
G431	GOLDBERG
G520	GOINS
C620	CROUCH
C120	CUEVAS
Q552	QUINONES
M236	MCDERMOTT
H536	HENDRICKSON
S542	SAMUELS
D535	DENTON
B626	BERGERON
L500	LAM
I100	IVEY
L200	LOCKE
H520	HAINES
T655	THURMAN
S540	SNELL
H252	HOSKINS
B650	BYRNE
M435	MILTON
W523	WINSTON
A636	ARTHUR
A620	ARIAS
S351	STANFORD
R000	ROE
C615	CORBIN
B436	BELTRAN
C140	CHAPPELL
H630	HURT
D500	DOWNEY
D400	DOOLEY
T340	TUTTLE
C200	COUCH
P350	PAYTON
M246	MCELROY
C623	CROCKETT
G612	GROVES
C455	CLEMENT
L240	LESLIE
C636	CARTWRIGHT
D200	DICKEY
M240	MCGILL
D120	DUBOIS
M520	MUNIZ
E650	ERWIN
S410	SELF
T416	TOLBERT
D512	DEMPSEY
C256	CISNEROS
S400	SEWELL
L350	LATHAM
G645	GARLAND
V240	VIGIL
T100	TAPIA
S364	STERLING
R500	RAINEY
N630	NORWOOD
L200	LACY
S363	STROUD
M300	MEADE
A520	AMOS
T135	TIPTON
L630	LORD
K500	KUHN
H463	HILLIARD
B540	BONILLA
T200	TEAGUE
C635	COURTNEY
G500	GUNN
H000	HO
G653	GREENWOOD
C600	CORREA
R200	REECE
W235	WESTON
P000	POE
T653	TRENT
P530	PINEDA
P120	PHIPPS
F600	FREY
K260	KAISER
A520	AMES
P200	PAIGE
G536	GUNTER
S530	SCHMITT
M425	MILLIGAN
E215	ESPINOSA
C643	CARLTON
B350	BOWDEN
V262	VICKERS
L600	LOWRY
P632	PRITCHARD
C234	COSTELLO
P160	PIPER
M244	MCCLELLAN
L140	LOVELL
D600	DREW
S500	SHEEHAN
Q200	QUICK
H320	HATCH
D125	DOBSON
S520	SINGH
J162	JEFFRIES
H452	HOLLINGSWORTH
S652	SORENSEN
M200	MEZA
F520	FINK
D540	DONNELLY
B640	BURRELL
B650	BRUNO
T545	TOMLINSON
C416	COLBERT
B452	BILLINGS
R320	RITCHIE
H435	HELTON
S364	SUTHERLAND
P142	PEOPLES
M250	MCQUEEN
G235	GASTON
T525	THOMASON
M254	MCKINLEY
G152	GIVENS
C626	CROCKER
V240	VOGEL
R125	ROBISON
D550	DUNHAM
C260	COKER
S632	SWARTZ
K200	KEYS
L400	LILLY
L356	LADNER
H500	HANNAH
W463	WILLARD
R236	RICHTER
H626	HARGROVE
E355	EDMONDS
B653	BRANTLEY
A416	ALBRIGHT
M632	MURDOCK
B240	BOSWELL
M460	MULLER
Q536	QUINTERO
P323	PADGETT
K500	KENNEY
D400	DALY
C540	CONNOLLY
P600	PIERRE
I550	INMAN
Q535	QUINTANA
L530	LUND
B656	BARNARD
V422	VILLEGAS
S552	SIMONS
L530	LAND
H252	HUGGINS
T340	TIDWELL
S536	SANDERSON
B463	BULLARD
M245	MCCLENDON
D630	DUARTE
D616	DRAPER
M633	MEREDITH
M660	MARRERO
D600	DWYER
A165	ABRAMS
S316	STOVER
G300	GOODE
F626	FRASER
C620	CREWS
B654	BERNAL
S540	SMILEY
G350	GODWIN
F200	FISH
C524	CONKLIN
M254	MCNEAL
B200	BACA
E216	ESPARZA
C636	CROWDER
B600	BOWER
N242	NICHOLAS
C520	CHUNG
B623	BREWSTER
M254	MCNEILL
D200	DICK
R362	RODRIGUES
L400	LEAL
C320	COATES
R520	RAINES
M250	MCCAIN
M263	MCCORD
M560	MINER
H416	HOLBROOK
S130	SWIFT
D220	DUKES
C642	CARLISLE
A436	ALDRIDGE
A265	ACKERMAN
S362	STARKS
R200	RICKS
H430	HOLLIDAY
F620	FERRIS
H623	HAIRSTON
S143	SHEFFIELD
L520	LANGE
F535	FOUNTAIN
M650	MARINO
D200	DOSS
B320	BETTS
K145	KAPLAN
C652	CARMICHAEL
B450	BLOOM
R150	RUFFIN
P500	PENN
K650	KERN
B420	BOWLES
S256	SIZEMORE
L625	LARKIN
D160	DUPREE
J400	JEWELL
S416	SILVER
S420	SEALS
M324	METCALF
H322	HUTCHISON
H540	HENLEY
F600	FARR
C234	CASTLE
M240	MCCAULEY
H525	HANKINS
G231	GUSTAFSON
D400	DEAL
C650	CURRAN
A200	ASH
W340	WADDELL
R500	RAMEY
C320	CATES
P420	POLLOCK
M260	MAJOR
I615	IRVIN
C552	CUMMINS
M260	MESSER
H460	HELLER
D300	DEWITT
L500	LIN
F520	FUNK
C653	CORNETT
P422	PALACIOS
G453	GALINDO
C500	CANO
H300	HATHAWAY
S526	SINGER
P500	PHAM
E562	ENRIQUEZ
A650	AARON
S423	SALGADO
P436	PELLETIER
P536	PAINTER
W255	WISEMAN
B453	BLOUNT
H530	HAND
F425	FELICIANO
T514	TEMPLE
H260	HOUSER
D630	DOHERTY
M300	MEAD
M260	MCGRAW
T500	TONEY
S500	SWAN
M415	MELVIN
C120	CAPPS
B452	BLANCO
B425	BLACKMON
W240	WESLEY
T525	THOMSON
M255	MCMANUS
F600	FAIR
B623	BURKETT
P230	POST
G425	GLEASON
R341	RUDOLPH
O300	OTT
D252	DICKENS
C656	CORMIER
V200	VOSS
R252	RUSHING
R251	ROSENBERG
H630	HURD
D520	DUMAS
B532	BENITEZ
A645	ARELLANO
S360	STORY
M650	MARIN
C340	CAUDILL
B620	BRAGG
J654	JARAMILLO
H630	HUERTA
G125	GIPSON
C415	COLVIN
B200	BIGGS
V400	VELA
P430	PLATT
C230	CASSIDY
T512	TOMPKINS
M245	MCCOLLUM
K000	KAY
G164	GABRIEL
D450	DOLAN
D400	DALEY
C651	CRUMP
S363	STREET
S530	SNEED
K426	KILGORE
G610	GROVE
G650	GRIMM
D125	DAVISON
B652	BRUNSON
P636	PRATER
M625	MARCUM
D150	DEVINE
K400	KYLE
D320	DODGE
S363	STRATTON
R220	ROSAS
C000	CHOI
T610	TRIPP
L313	LEDBETTER
L000	LAY
H236	HIGHTOWER
H300	HAYWOOD
F435	FELDMAN
E120	EPPS
